authors,date_download,date_publish,description,image_url,language,source_domain,body,title,url,source_url_hash
[],2025-10-22 11:27:54+00:00,2019-10-28 08:49:03+00:00,"Mail & Guardian Editorial Code of Ethics As the Mail & Guardian and its staff, we commit ourselves to the highest standards of independent journalism. O",['https://mg.co.za/wp-content/uploads/2023/11/MailGuardian_logo-3.png'],en,mg.co.za,"Mail & Guardian Editorial Code of Ethics
As the Mail & Guardian and its staff, we commit ourselves to the highest standards of independent journalism.
October 2010
Preamble
As the Mail & Guardian and its staff, we commit ourselves to the highest standards of independent journalism. We serve the public’s right to know, in line with section 16 of South Africa’s constitution which guarantees this fundamental right in order to allow citizens to make decisions and judgments about their society. We pledge to exercise our role with great care and responsibility to safeguard public trust in our integrity. We salute those in our history who fought racism and oppression and created a democratic order which guarantees this right, and pledge to defend it at all times.
1. Accuracy & sourcing
Our first duty is to report accurately. We will take care to evaluate information provided to us and to cross-check it as much as possible before publishing. We will show readers the chain of evidence we have.
1.1 The more serious and controversial a claim is, the more corroboration will be required before it can be published. A single source will not usually be sufficient. Secondary sources like other newspaper reports will be treated with caution, and clearly identified.
1.2 Anonymous sources will be avoided unless there is no other way to handle a story and there is extensive additional evidence available. Where sources cannot be named, they will still be identified as closely as possible by reference to their organisation, position, relevance to the story or similar.
1.3 Anonymity will only be granted if the source can persuade us that they have sound reasons for the request. It is not available to people peddling rumour, comment or spin. However, once it has been granted, the newspaper will protect the identity of the source.
1.4 We will take particular care with information that is passed on to us in furtherance of a particular agenda, and will seek additional corroboration in the light of the motives and interests of a source.
1.5 Plagiarism will not be tolerated.
1.6 Headlines, captions and posters will fairly reflect the content of articles.
1.7 Special care will be taken with details like numbers, dates, names and words from South African languages other than English.
2. Fairness
We will treat the sources and subjects of our reporting fairly, making sure they have a full opportunity to respond to reporting that may affect them. This means actively seeking out all relevant views and giving people sufficient time to formulate a response. A report can only go ahead without relevant responses if the opportunity to comment has been declined, or if the editor is satisfied that all reasonable measures have been exhausted. In this case, the situation will be explained to readers.
3. Independence
Our journalistic duty to inform the public trumps all other considerations, whether they are financial, political, personal or any other non-professional interests. This includes the business interests of the paper itself. We will avoid conflicts of interest as well as the appearance of conflicts of interest.
3.1 Editorial material will be kept clearly distinct from advertising or any paid-for content. Any outside support for editorial work, such as through sponsored travel, will be declared in the relevant report.
3.2 Gifts, favours and freebies will be handled in accordance to the newspaper’s policy, which is designed to underline that our goodwill cannot be bought through these means.
3.3 Journalists may only take on outside paid work if it does not impact on their primary responsibilities or create a perception of a conflict of interest, and then only with the permission of the editor.
3.4 Journalists will bear in mind that their private activities can impact on their and the newspaper’s reputation. This extends to opinions expressed on public or semi-public social networking platforms.
4. Minimising harm
We recognise that the media can have a harmful impact on the subjects of our reports, our sources, our audiences and society in general, and pledge to minimise it. We will take particular care when dealing with vulnerable people and groups.
4.1 We will not fuel racism or racist stereotypes, and respect the constitutional prohibition of hate speech. We will take note of sensitivities arising from our history, but will not shy away from reporting issues involving race. We acknowledge that racial attitudes are often deeply ingrained, and will always be willing to interrogate our news choices and other editorial decisions for any unspoken and hidden assumptions that may be distorting our judgment.
4.2 We acknowledge the multiple layers of disadvantage affecting black people, women and other groups, and our reporting will always reflect this insight.
4.3 We will avoid racial labels unless they are essential to understanding. Similarly, we will avoid other labels that may feed into social prejudices of various kinds, around religion, culture, gender, sexual orientation, HIV status and many others. We will be careful to avoid anything that fuels xenophobia.
4.4 We will take note of social sensitivities around religion, death, the portrayal of nudity, sex and violence, the use of strong language and others. We will not offend these sensitivities gratuitously.
4.5 Any infringement of an individual’s privacy – a right guaranteed in the constitution – must be fully justified by a clear and strong public interest. It must be carefully considered, and proportionate to the level of public interest. We recognise that people in positions of importance or who have sought a life in the public eye have a reduced right to privacy.
4.6 We will take great care to avoid the possibility of direct harm to a source. Where this seems possible, extra steps will be taken to make sure the source understands the dangers and gives informed consent, and steps to mitigate the danger are put in place.
4.7 We will take particular care to avoid harm to children. While it is important to seek out the views of children, we will not do anything that may expose them to abuse, discrimination, retribution, embarrassment or any other risk. We will make sure that we consult with a parent or guardian about any impact our reporting may have on the child. We will not use sexualised images of children.
5. Reporting methods
We will use open, honest means to gather information. Exceptions can only be made when there is strong public interest in a story and there are no alternative methods available.
5.1 We will identify ourselves as reporters to potential sources. We respect the law, and our reporters are required to have a good understanding of relevant legal provisions.
5.2 We will respect off-the-record and similar arrangements. Agreements with sources must be clear, and are binding on the newspaper and its journalists.
5.3 We do not pay for information.
5.4 We do not allow sources to vet our reports before publication. Sometimes, however, it is advisable for reporters to check back to ensure the accuracy of technically complex information, quotes and the like.
5.5 We will keep detailed records of all interviews we conduct, either in note form or preferably as a recording.
6. Accountability
We accept the same level of public scrutiny and accountability as we subject others to. At all times, responses to complaints will be generous, helpful and governed by the need to make sure readers get the fullest information available.
6.1 We will correct errors with due prominence as soon as we become aware of them. Errors online will not be invisibly corrected. Instead, a note with the correction will be posted with the original article.
6.2 In addition to corrections of factual errors, the newspaper offers the following corrective measures:
A clarification, where an article may have lead to a mistaken impression even though it does not contain factual mistakes;
A right of reply, where a full response was not initially included;
An apology; where justified.
These measures can be used in conjunction, and are at the editor’s discretion.
6.2 We accept the jurisdiction of the South African Press Ombudsman.
7. General
7.1 Mail & Guardian reviews of artistic work are written fairly, in order to help readers decide what to see and how to understand it. They do not offer an opportunity to degrade or humiliate.
7.2 Columnists and commentators are expected to write fairly and honestly, but this does not suggest a bar on strongly opinionated writing. Fact and opinion will be clearly distinguishable. The newspaper will seek out a wide range of views, including particularly voices not often heard.
7.3 The newspaper, as well as M&G Online, will encourage readers’ involvement in discussion through the letters’ page, responses to articles etc. Criticism of the newspaper and its approach is welcome, but basic standards of decency will be enforced.
7.4 This code applies to all staff. Where there is doubt about how to proceed, journalists must take advice from section heads or the editor.
M&G Editorial code appendix 1: Gifts, freebies and outside interests policy
This policy is designed to manage the issue of gifts and freebies, in order to avoid an impression of conflicts of interest impacting on the reputation of the newspaper and its staff.
1. Gifts and freebies:
1.1 In general, staff are not allowed to accept gifts with a value of over R150.
1.2 Gifts can include cash, items of value, loans, travel, hospitality or other things. Where they are offered for review purposes, tickets to events, books, CDs, DVDs, computer games or similar are not seen as gifts.
1.3 Where practicable and where it would not cause offence, a gift should be returned promptly and with a polite explanation.
1.4 PR handouts that come into the newsroom or to individual journalists must be handed to the managing editor. From time to time, s/he will organise an auction in the newsroom, and the proceeds will be donated to a charity.
1.5 An offer of funded or subsidised travel or hospitality for an editorial purposes can only be accepted with the permission of the editor, who will decide which reporter will take up the offer. Such offers will only be accepted if there is a legitimate news story to write, which the paper otherwise would not be able to afford to cover. Where such an offer is accepted, a note at the end of the report will explain the situation.
1.6 A staffer may not solicit free or discounted food, drink, gifts or similar benefits on the basis of his or her employment as a journalist.
2. Register of interests
2.1 The managing editor will be in charge of a register of interests, where all editorial staff are required to declare any outside interests, including but not limited to:
Outside work;
Shareholdings;
Family involvements in business;
Organisational memberships.
Mail & Guardian Social Media Policy
January 2012
Preamble
This policy is intended to provide our journalists and social media practitioners with guidelines to enable them to make full use of the enormous journalistic potential of social media.
There is no fundamental difference between online journalism, of which social media is a subset, and traditional journalism.
All the same rules and principles apply. Where they differ is in the pressures and form of the outputs. This means that quality can be defined differently on different platforms, but professionalism is judged to the same exacting standards.
This applies whether you are using social media for research, reporting, publishing or interaction with others. But in all instances of your behaviour, both on social media and elsewhere, you are expected to adhere to the Code of Ethics of the Mail & Guardian.
The one absolute to keep in mind is that the Mail & Guardian’s reputation is our most valuable asset, so do nothing to damage the qualities associated with that reputation. These are, inter alia, integrity, credibility, honesty and professionalism.
As a news organisation specialising in investigative reporting, the Mail & Guardian relies on our community of readers to help us produce a better product. Social media allows us to talk to our readers on multiple platforms, and opens up new audiences for our content. The network effect means that our core readers disseminate our content to their followers.
On social media platforms, M&G reporters can source breaking news and story ideas. We can also break news, as well as use social media to verify news. We can pick authoritative sources from a wide pool, and use our community as a sounding board for ideas and opinions.
For the purposes of this document, “social media” includes Twitter, Facebook, blogging platforms, MXit, forums and commenting functions (such as Disqus), and photo-sharing networks and applications such as Instagram.
Social media guidelines
Authenticity",Ethics And Social Media Policy,https://mg.co.za/ethics-and-social-media-policy/,be7cf4d89ab050b7694ef1c5ecc9e8cb
[],2025-10-22 11:28:02+00:00,2019-06-13 07:17:15+00:00,Advertise Advertise with an Award Winning Team Want to reach over 1 000 000 affluent readers? Be part of the  M&G Online  community and promote yo,['https://mg.co.za/wp-content/uploads/2019/06/f5a9a166-awards.jpeg'],en,mg.co.za,"Want to reach over 1 000 000 affluent readers?
Be part of the M&G Online community and promote your products or services to over 1 000 000 monthly unique visitors generating more than six million monthly page impressions (audited by the DMMA).
The Mail & Guardian Online is one of South Africa’s top twenty websites, as measured and audited by the Digital Media and Marketing Association (DMMA). It is one of the country’s five biggest online newspapers. It was the first internet-based news publication in Africa. Launched in early 1994, it is reputed internationally for its quality content. The M&G Online has received numerous accolades and awards, including three international Webby Honouree awards (“Internet Oscars”) and voted one of the world’s top 175 websites by Forbes.com.
Print Advertising – Bryan Khumalo
Email: [email protected]
Phone: +27 (0)11 250 7300
Mobile: +27 (0)83 273 2112
Download the Print Rate Card
Digital Advertising – Bryan Khumalo
Email: [email protected]
Phone: +27 (0)11 250 7300
Mobile: +27 (0)83 273 2112
Download the Digital Rate Card
Readership profile
The M&G Online appeals to the top LSMs, including the political and business classes and the country’s intelligentsia. The publication attracts a readership that is above market aggregate in both income and education categories.
Our website has content like no other, and our readers are not what you would commonly find:",Advertise,https://mg.co.za/advertise/,e10545692fb2a0326b9d76e4ea546bea
['Nkateko Joseph Mabasa'],2025-10-22 11:28:17+00:00,2025-10-21 00:00:00+00:00,,['https://mg.co.za/wp-content/uploads/2023/11/MailGuardian_logo-3.png'],en,mg.co.za,"Hawks helicopter attempted to stop Molefe arrest, Witness A tells Madlanga commission
The anonymous witness said frequent interference in the investigation of murder suspect Katiso Molefe showed how far his influence reached in the police service
Senzo Mchunu throws Shadrack Sibiya under the bus, denies directive to remove 121 dockets
He contradicted the deputy national commissioner, who said he took the dockets from the task team because he ‘could not disobey an order from the minister
Madlanga: Witness A implicates senior Gauteng officials in drug cartels and syndicated hits
The witness, who has requested anonymity, told the Madlanga commission he was invited to parties with senior officials who wanted to influence his investigation of the Armand Swart murder case
Madlanga: ‘Johannesburg hitman detective killed the wrong person, believed to be a whistleblower’, Witness A says
The unidentified witness implicated staff the Johannesburg central police station in collusion with drug cartels and sanctioned hits
UPDATED: Under siege minister charges DG
Minister Sisisi Tolashe suspended director general Peter Netshipale amid internal scandals, contract disputes and whistleblower allegations at the department of social development
Mchunu says political killings task team was not a permanent unit, as infighting rocks police service
Suspended minister defends his order to disband the task team
Inspector-general Imtiaz Fazel suspended in the latest scandal to hit crime intelligence
The presidency said Fazel had been suspended after parliament’s joint standing committee on intelligence received a complaint about his conduct
Madlanga commission still fixing technical problems which risked exposing identity of ‘Witness X’
The commission is expected to resume sitting on Thursday
‘Mkhwanazi wants to block me from becoming national police commissioner’, says Sibiya
The deputy national commissioner has accused the KwaZulu-Natal police boss of using corruption allegations as part of a succession battle within the service",The Mail & Guardian,https://mg.co.za/author/nkateko-joseph-mabasa/,163579a25d360a2b041894be45ec23c3
"['Eyaaz', 'Mnaku Mbani']",2025-10-22 11:28:23+00:00,2025-10-13 10:34:40+00:00,This robust growth positions the equity segment as one of Tanzania's most profitable investment avenues,['https://mg.co.za/wp-content/uploads/2025/10/Equities-e1760351601261.jpg'],en,mg.co.za,"Investors trading on the Dar es Salaam Stock Exchange recorded a capital gain of 3.7 trillion Tanzanian shillings (about $1.4 billion) over the 12 months ending in September, reflecting a nearly 18.9% increase in market value.
This robust growth positions the equity segment as one of Tanzania’s most profitable investment avenues.
The latest market report shows that total market capitalisation climbed to 21.34 trillion Tanzanian shillings by the end of September from 17.64 trillion shillings a year earlier. This increase was primarily driven by sustained increases in the share prices of both local and foreign-listed companies.
Compared with fixed-income securities, such as government and corporate bonds — which typically yield less than 15% per annum — the equity market’s returns are significantly higher.
“Equities have experienced a very bullish run in 2025, driven largely by the new trading rules implemented in June. Several companies have posted year-to-date returns exceeding 100%,” said Raphael Masumbuko, a market analyst and chief executive of Zan Securities Limited.
“It is unprecedented to see more than five domestic counters achieve such gains within a single year, highlighting the strength of this rally. This bullish sentiment is also attracting investors who previously preferred traditional vehicles such as mutual funds and fixed deposits. Improved market liquidity is fueling demand for investment securities, creating a virtuous cycle of growth and participation.”
Masumbuko remains optimistic about the outlook, expecting 2025 to continue shaping up as a highly bullish year for equities.
Other analysts said the market’s gains were concentrated in a handful of liquid counters, particularly banking stocks, with smaller listings showing little movement or modest declines due to thin trading and lower investor attention.
Strong corporate earnings and better-than-expected quarterly results for banks and some blue-chip counters were cited as key drivers behind the upward momentum. Beyond capital gains, investors also benefit from annual dividends distributed by profitable listed companies, often on a bi-annual or annual basis.
Locally listed companies saw their market capitalisation grow to 13.5 trillion Tanzanian shillings by the end of September from 12.1 trillion shillings a year earlier.
The banking, finance and investment sectors — both locally listed and cross-listed — recorded the highest capital gains, with the sector index rising to 9 245.90 points from 5 674.20 points.
Geofrey Kamugisha, another market analyst, said a 19.8% year-to-date increase in total market capitalisation is a very significant outcome for Tanzania’s equity market.
“It shows that equities have substantially outperformed most other domestic investment options this year,” he said.
Kamugisha explained that bank deposits are yielding only modest returns, citing the Bank of Tanzania’s monthly economic review for August, which shows the overall deposit rate edged up slightly to 8.83% from 8.74%, while negotiated deposit rates decreased to 10.72% from 11.21%.
Government securities, including treasury bills and bonds, have seen falling yields throughout 2025. One-year bills now yield around 8%, while long-term bonds of up to 25 years have yields compressed into the 12% to 14% range.
“The equities market gain over a single year clearly positions the stock market as the highest-returning formal asset class. For some investors, returns were even higher on specific counters, particularly banking stocks,” Kamugisha said.
He explained that abundant liquidity, falling fixed-income yields and investors reallocating capital toward equities have boosted prices.
“As interest rates fall, discount rates used in equity valuation also decline, pushing equity prices higher,” he added.
Kamugisha also noted that recent structural reforms on the Dar es Salaam Stock Exchange — especially adjustments to price determination mechanisms such as tick sizes and trading rules — have improved pricing efficiency, increased volatility and gradually enhanced market liquidity.
While equities are increasingly attractive compared to deposits and fixed-income securities, they carry higher risk and volatility. The Tanzanian market remains relatively concentrated, with a few banks, including CRDB, NMB and Mkombozi Commercial Bank as well as Tanzania Breweries Limited, driving most of the turnover and price action.
“For investors willing to accept price swings, the equity market currently offers superior potential,” Kamugisha said.",Tanzania’s equities market surges by $1.4bn over a year,https://mg.co.za/africa/2025-10-13-tanzanias-equities-market-surges-by-1-4bn-over-a-year/,0bc6b0163f4963e8696f52134ac363ac
"['Eyaaz', 'Sandile Motha']",2025-10-22 11:28:28+00:00,2025-10-21 04:00:00+00:00,Jacob Zuma’s party has submitted a motion of no confidence against premier Thamsanqa Ntuli of the Inkatha Freedom Party,['https://mg.co.za/wp-content/uploads/2023/12/Thami-Ntuli.jpg'],en,mg.co.za,"The future of the KwaZulu-Natal government of provincial unity hangs in the balance after Jacob Zuma’s uMkhonto weSizwe party submitted a motion of no confidence in premier Thamsanqa Ntuli which could succeed, given the strained relations between the Inkatha Freedom Party (IFP) and the ANC.
The traditional political foes have enjoyed more cordial relations after forming a governing pact in the province when the ANC lost support in last year’s general elections, but the MK’s submission against Ntuli, the IFP’s provincial chairman, could test that.
“Under premier Thamsanqa Ntuli, governance has lost direction and administrative control over provincial departments has been rendered weak,” reads the motion submitted to speaker of the provincial legislature Nontembeko Boyce.
Despite being on the opposition benches, the MK party is the largest party in the KwaZulu-Natal legislature, with 37 seats, after the ANC went from 44 seats to just 14.
The MK party was, however, denied power when the IFP with 15 seats, the ANC with its 14 seats, the Democratic Alliance with 11 and the National Freedom Party with one seat banded together to form a governing pact shortly after the 2024 general elections. Together these parties have 41 seats.
The MK party will be banking on the souring relations between the IFP and the ANC after MEC for cooperative governance and traditional affairs, Thulasizwe Buthelezi of the IFP, masterminded the removal of Siphile Mdaka, an ANC mayor in the uMkhanyakude district in northern KwaZulu-Natal.
The ANC has signalled that it believes the IFP has shown itself to be an unreliable ally in the province.
“The ANC has expressed its clear views on the matter. We will be having a meeting between ourselves and the IFP. As soon as that meeting takes place, the ANC will articulate its position publicly,” ANC provincial coordinator Mike Mabuyakhulu told the Mail & Guardian.
It is likely that the ANC will demand the reinstatement of Mdaka as mayor as a condition for staying in the provincial unity government.
The office of the legislature speaker confirmed receipt of the motion.
“The motion will be processed, in line with the legislature standing rules, and other applicable legislative frameworks,” it told the M&G.
The ANC Youth League has backed the idea of the party leaving the governing coalition in the province, accusing both the IFP and the DA of seeking to relegate it to the political periphery.",KwaZulu-Natal coalition in jeopardy as MK party motion tests relations between ANC and IFP,https://mg.co.za/politics/2025-10-21-kwazulu-natal-coalition-in-jeopardy-as-mk-party-motion-tests-relations-between-anc-and-ifp/,847665fad7f14016b435448eb1cc0259
"['Eyaaz', 'Nkateko Joseph Mabasa']",2025-10-22 11:28:34+00:00,2025-10-21 13:39:00+00:00,"He contradicted the deputy national commissioner, who said he took the dockets from the task team because he ‘could not disobey an order from the minister",['https://mg.co.za/wp-content/uploads/2025/07/SENZO_MCHUNU-_0294_DV.jpg'],en,mg.co.za,"Suspended police minister Senzo Mchunu has distanced himself from the controversial removal of 121 case dockets from a task team investigating political killings, telling parliament’s ad hoc committee on police corruption that his directive to disband the unit made no mention of how the dockets should be handled.
Mchunu’s testimony on Tuesday directly contradicted evidence previously given by deputy national commissioner for crime detection Shadrack Sibiya, who told the committee he removed the dockets because he “could not disobey an order from the minister”.
Mchunu told parliamentarians that there was “no word, no word at all, about dockets in my directive” in his December 2024 letter giving the instruction to disband the task team. He added that his decision to dissolve the unit was administrative, not an attempt to protect criminal networks.
The committee’s inquiry into corruption and criminality in the justice system — running parallel to a commission chaired by retired judge Mbuyiseli Madlanga — has become the latest arena for senior police officials to trade accusations of interference and misconduct.
Both inquiries were established after explosive claims by KwaZulu-Natal police commissioner Nhlanhla Mkhwanazi, who alleged that political figures and top officers had colluded with criminal syndicates to undermine investigations into politically motivated murders.
At the Madlanga commission, Mkhwanazi testified that the Gauteng-based “Big Five” cartel had influenced the disbandment of the task team, which was investigating dozens of politically linked assassinations in the province.
In parliament, he repeated those claims, accusing Mchunu and senior officers of halting sensitive investigations and shielding suspects from prosecution.
Sibiya, who implemented Mchunu’s directive to dissolve the unit, has consistently rejected Mkhwanazi’s version of events, describing the allegations as baseless and part of a succession battle for the position of national police commissioner.
Sibiya told MPs that Mchunu’s directive was clear that the task team should be disbanded “immediately” — a team he considered “elite” and “unaccountable”.
However, Mchunu’s testimony this week appeared to undermine Sibiya’s defence, suggesting that the deputy commissioner could have acted on his own interpretation of the order.
Asked by ANC MP Thokozile Sokanyile whether he was aware that his directive had caused investigations to stall, Mchunu replied that the handling of case files followed a “very different process” from the administrative disbandment of the task team.
Mchunu also categorically denied any connection to Vusimuzi “Cat” Matlala, a murder suspect alleged to have lobbied for the task team’s shutdown through North West businessman Brown Mogotsi.
“I’ve never met Matlala alone. I’ve never met him in the company of [Brown] Mogotsi and possibly in any other capacity. He’s not somebody that I know. He’s not somebody that I’ve spoken to directly or indirectly,” Mchunu said.
His statement aligns with Sibiya’s previous testimony denying any involvement with Mogotsi or Matlala, after crime intelligence head Dumisani Khumalo presented WhatsApp messages at the Madlanga commission allegedly linking them to the disbandment.
Sibiya told MPs he “doubts” the authenticity of the messages and suggested they might have been tampered with during Matlala’s bail proceedings. However, Sibiya admitted to knowing Matlala as a service provider in the South African Police Service (SAPS) and held a meeting to address tender contract issues.
Mchunu, Sibiya and Mkhwanazi’s conflicting testimonies have deepened the perception of a leadership crisis within the SAPS, where fractured institutional loyalties are playing out in the public terrain. Recently, President Cyril Ramaphosa suspended the inspector general of intelligence Imtiaz Fazel, after a complaint to parliament’s joint standing committee on intelligence, adding to the instability across the policing and intelligence services.
This week, the Madlanga commission heard evidence that elements within the Gauteng police are colluding with criminal syndicates.","Senzo Mchunu throws Shadrack Sibiya under the bus, denies directive to remove 121 dockets",https://mg.co.za/politics/2025-10-21-senzo-mchunu-throws-shadrack-sibiya-under-the-bus-denies-directive-to-remove-121-dockets/,c035beed04436bbde048170dc12ef8f0
['M&G Digital'],2025-10-22 11:28:41+00:00,2024-07-25 10:00:07+00:00,"In the spirit of Women 20 (W20) , this year we are celebrating women who turn the impossible into unstoppable. We pay tribute to the women who challenge limitat",['https://mg.co.za/wp-content/uploads/2024/08/Power_of_Women_Banner2-removebg.png'],en,mg.co.za,"In the spirit of Women 
20 (W20)
, this year we are celebrating women who turn the impossible into unstoppable. 
We pay tribute to the women who challenge limitations, shift narratives and lead with a purpose.",Power Of Women,https://mg.co.za/powerofwomen/,d0fb1124dfa8f01e99cd243a49edc51d
"['Eyaaz', 'Lenin Ndebele']",2025-10-22 11:28:48+00:00,2025-10-06 14:15:19+00:00,Kariba REDD+ has been prevented from trading after allegations of mismanagement and corruption,['https://mg.co.za/wp-content/uploads/2025/10/kariba-redd.jpg'],en,mg.co.za,"Uncertainty still surrounds the Kariba REDD+ forest conservation project, which provides sustainable livelihood opportunities for poor communities in northern Zimbabwe, after the world’s largest certifier Verra cancelled 15 million of its carbon credits.
The project, run by Carbon Green Investments (CGI), and covering more than 700 000 hectares, aims to protect both unlogged and previously logged forests that have the regenerative capacity to reach maturity, thus improving the livelihoods of locals.
It covers Zimbabwe’s biggest forest reserves and wildlife corridors along the southern shore of Lake Kariba in the Zambezi River basin and has attracted investors such as Volkswagen, Gucci, Porsche, Nestlé and Delta Airlines, raising more than $100 million in revenue through South Pole, an organisation that creates carbon-reduction plans allowing governments and businesses to benefit from climate action.
For its part, South Pole earned a commission from CGI, which, since 2011, has undertaken community projects such as building hospitals and schools and forest and wildlife conservation in Zimbabwe’s Binga, Nyaminyami, Hurungwe and Mbire districts.
In 2023, Verra — a nonprofit organisation that develops and manages standards for environmental and social impact projects, especially those involving carbon credits — suspended the Kariba REDD+ from active trading in its registry after allegations of mismanagement and corruption were raised against CGI.
The certifier resolved to investigate the allegations, but CGI opted to withdraw Kariba REDD+ from Verra’s registry. Last week, Verra announced that it had finished its investigation of the Kariba REDD+ project, concluding that its carbon offsets had been overstated by 15 220 520 carbon credits.
Carbon credits are permits or certificates that represent the right to emit one metric tonne of carbon dioxide, or an equivalent amount of another greenhouse gas, as part of global efforts to reduce greenhouse gas emissions and combat climate change by putting a price on emissions.
In a statement, Verra said it would “engage with the project proponent, CGI, and request compensation” and also “engage with the account holders”.
While Verra wants CGI to pay back the money from the alleged overstated carbon offsets, CGI has demanded that Verra provide the data used to arrive at its conclusion.
“We are concerned by the lack of accompanying detail regarding the basis for the reported findings,” the company said in a statement, also warning Verra “to refrain from contacting any client of Carbon Green Investments, without prior consent”.
The impasse highlights the risks, integrity and effectiveness of carbon offset initiatives, said Nsikelelo Moyo from Carboneg Development, a company focused on carbon market development in Africa.
“Verra’s recent move exposes the limits of voluntary governance when billions of dollars, corporate reputation and fragile ecosystems are at stake,” Moyo said.
“The integrity of carbon markets depends on more than improved methodology documents and rhetorical defences; it requires systemic reform, independent oversight and a public-interest approach that puts climate outcomes and local rights ahead of short-term market gains.”
Anglistone Sibanda of Carbon Markets Forum said the over issuing of carbon credits was bound to happen because, until recently, “there was no regulatory framework in Zimbabwe or government involvement to validate projects”.",Fate of Zimbabwe’s Kariba REDD+ forest conservation project hangs in the balance,https://mg.co.za/africa/2025-10-06-fate-of-zimbabwes-kariba-redd-forest-conservation-project-hangs-in-the-balance/,3cf06952bbcff0400d90ec22d2e0ccd2
['Adam Oxford'],2025-10-22 11:28:54+00:00,2021-09-10 14:53:40+00:00,"June 2021 | Version 1.0 Welcome to our cookie policy. The purpose of this policy is to describe what cookies are, what we use them for, and how you can ma",['https://mg.co.za/wp-content/uploads/2023/11/MailGuardian_logo-3.png'],en,mg.co.za,"June 2021 | Version 1.0
Welcome to our cookie policy. The purpose of this policy is to describe what cookies are, what we use them for, and how you can manage them when you visit or use our website.
This policy applies alongside our privacy policy, which you can find here.
This cookie policy has been created and updated by Consent Management – CookieFirst.
What are cookies?
We may place small text files called ‘cookies’ on your device when you visit our website. These files do not contain personal information. However, they do contain personal identifiers allowing us to associate your personal information with a certain device.
Many websites use cookies, and you can find out more about them at www.allaboutcookies.org. Your browser will keep cookies for a certain period of time and will send it back to the web server each time you reconnect to it.
Why do we use cookies?
These files serve a number of useful purposes for you, including:
ensuring the website functions correctly;
granting you access to restricted content;
tailoring our website’s functionality to you by letting us remember your preferences, location, or device type;
improving how our website performs;
understanding who our audience is, so that we can provide content most relevant to you;
allowing third parties to provide services to our website; and
helping us deliver interest-based advertising where appropriate in compliance with the applicable laws.
The cookies we use
We use different cookies on our website. Some cookies are placed by us, while others are placed by our third-party plug-ins, suppliers, or advertisers. These cookies may be deleted from your device at different times, such as at the end of your browsing session (when you leave the website) or after a pre-set amount time, or they may persist on your device until you delete them.
We use the following types of cookies on our website:
essential cookies – these are cookies that allow our website to perform its essential functions. Without these cookies, some parts of our websites would stop working.
site analytics cookies – these are cookies that monitor how our website is performing, and how you interact with it. We use them to know how best to improve our website or services.
functional cookies – these are cookies that remember who you are as a user of our website. We use them to remember any preferences you may have selected on our website, like saving your username and password, or settings.
advertising cookies – these are cookies that matches your interests or web searches with applicable advertising campaigns on our website. We use them to provide you with advertising that we think you might find useful.
social media cookies – these are cookies that integrate with social media platforms. We use them to help you share content from our website to your chosen social media platform.
third party cookies – these are cookies that some of our business partners use on our website. We have no access to or control over them. Information collected by any of these cookies or widgets is governed by the privacy policy of the company that created it, and not by us.
What information do we access thanks to cookies?
We have access to:
Identifiers of your terminal (IP address);
Operating system used by your terminal (Microsoft Windows, Apple Os, Linux, Unix, BeOS, Android, iOS, etc.);
Device name (e.g. iPhone 12);
Web browser (Microsoft Internet Explorer, Apple Safari, Mozilla Firefox, Google Chrome, etc.);
Language of your web browser;
Date and hour of connection to our website;
The “referrer” (provenance HTTP address); and
Browsing data on our websites and content viewed.
Our cookies
You can see the cookies we use in the following table:
Deleting cookies
Your internet browser generally accepts cookies automatically, but you can often change this setting to stop accepting them. You can also delete cookies manually. You can read how to do this for popular browsers by following these links:
Firefox
Google Chrome
Internet Explorer
Safari
Deleting or no longer accepting cookies may prevent you from accessing certain aspects of our website where cookies are necessary or cause the website to forget your preferences. Deleting cookies may not prevent you from seeing advertisements on our website, but such advertising may be less relevant to you.",Cookie Policy,https://mg.co.za/cookie-policy/,092f59523707c9191339db49910aa58e
"['George Euvrard', 'Thabo Mohlala']",2025-10-22 11:29:00+00:00,,,['https://mg.co.za/wp-content/uploads/2023/03/red-ampersand.png'],en,mg.co.za,"Cryptic Crossword JDE 502
By 
George Euvrard
Welcome to the only South Africanised weekly cryptic crossword.

Clue of the week:

1 Judge an ethology leader has virtue – everyone gets this passionate animal lover (4,7)",The Mail & Guardian,https://mg.co.za/section/crossword/,eb44dabc75500f7ec063ea35d79a3287
