authors,date_download,date_publish,description,image_url,language,source_domain,body,title,url,source_url_hash
"['Eyaaz', 'Eyaaz Matwadia']",2025-10-23 10:01:16+00:00,2025-10-23 04:00:00+00:00,The rise of more affordable electric vehicles and plug-in hybrid electric vehicles is sure to affect the market share of new-energy vehicles,['https://mg.co.za/wp-content/uploads/2025/10/LEAP-16-Oct-00072-scaled.jpg'],en,mg.co.za,"Electric vehicles (EVs) have struggled to take off in South Africa, weighed down mainly by range anxiety and the lack of charging infrastructure.
Although new-energy vehicle (NEV) sales as a whole rose by 100.6% in 2024 from 2023, they made up just 3% of the market in South Africa. Traditional hybrid vehicles accounted for over 13 000 of the 15 611 NEVs sold last year.
In the first quarter of 2025, sales of EVs — a subset of new-energy vehicles — declined, although the total NEV market increased by 14% year on year. In the second quarter however, NEV sales fell by 10.1% year on year.
The country has just over 500 public charging stations nationwide, while the US has over 76 000 charging locations and the UK has 65 000.
With internal combustion engine (ICE) vehicles still dominating the market, manufacturers are constantly trying to tempt South Africans with NEVs. The country now has traditional hybrids, EVs, plug-in hybrid electric vehicles (PHEVs) and range-extended electric vehicles (REEVs). So what is the best way forward for consumers?
Thinus Booysen, professor and director of the Electrical Mobility Lab at Stellenbosch University’s faculty of engineering, argues that South Africa has one of the highest charger-to-EV vehicle ratios in the world and that the main issue inhibiting sales is the price of the cars.
“The capital cost is high because we don’t make them locally and because we have high import duties on vehicles — and even higher on EVs. However, we need the high import duties to protect our local vehicle manufacturing sector,” Booysen said.
BYD’s launch of the Dolphin Surf last month — the country’s most affordable EV at just R339 000 — and its commitment to rolling out between 200 to 300 flash charging stations in 2026, could be the catalyst for the transition to the vehicles in South Africa.
Traditional hybrids and PHEVs
Traditional hybrid vehicles have a small battery that is generally just used to assist the engine and is charged solely through regenerative braking and the internal combustion engine. PHEVs have a larger battery that can be charged by an external source giving the vehicle a significant electric-only driving range.
While traditional hybrid vehicles have been making up most of NEV sales, PHEVs were also not affordable for South Africans before 2025. In 2024, there was not a single PHEV that cost under R1 million, but since April this year, Chinese manufacturers have released a variety of these vehicles into the local market.
BYD released the Sealion 6 in April and other brands followed suit. Omoda and Jaecoo released PHEV variants of the C9 and J7 in June, Chery released the PHEV variant of the Tiggo 7 Pro and Haval released the H6 GT in a PHEV as well. All of these models come in at under R1 million, with the Chery Tiggo 7 Pro selling for R599 000.
PHEV technology gives South African drivers the best of both worlds — the reliability of petrol and the efficiency of electric driving, according to Chery South Africa’s product manager, Refiloe Mokoena.
“Chery’s PHEVs, such as the Tiggo 7, 8 and 9 PHEV, can travel up to 1 400km on a single tank and charge, drastically reducing fuel stops. In city driving, fuel use drops to as little as 1.4 litres/100 km, cutting petrol consumption by 80 to 90%, compared with similar ICE SUVs,” he said
“It also has lower running costs, zero tailpipe emissions in electric mode, meaning cleaner driving, superior performance and increased safety and reliability.”
But even the more affordable PHEVs are still priced R100 000 to R150 000 more than their ICE variants, although Mokoena argues that they are still the way to go because of fuel savings and resale advantage.
“In essence, the extra R100 000 is a pre-payment toward lower lifetime ownership cost, cleaner driving and resilience against rising petrol prices. Over time the fuel saving will offset the initial higher entry point,” he said.
PHEVs make the most sense because they can be charged quickly and easily and if there is no charging station nearby, the petrol engine will take over, Mokoena said.
“Their dual power system eliminates range anxiety while still providing electric commuting for 80 to 170km daily. Combined with long total range — 1 200 to 1 400 km — and high efficiency, they offer the ideal transitional solution for South Africa — eco-friendly, cost-saving and reliable under any road or grid conditions.”
REEV
REEVs are the newest addition to the NEV space in South Africa. Leapmotor launched in the country with its C10 last week and, instead of opting for a PHEV, the manufacturer has produced a vehicle with a battery and an engine, although the latter will only be used as a generator to regenerate the battery.
The battery can also be charged by an external power source, but the car will always be powered by the electric motor and never by the engine.
Leapmotor opted for REEV architecture for the C10 so the car drives and feels like a battery EV most of the time while keeping a much longer real-world range without the cost, weight and charging-infrastructure dependence of a large-battery, said Deidre du Plessis, head of communications at parent company Stellantis.
“Compared with a conventional PHEV, that uses its engine to drive the wheels, a REEV keeps the internal-combustion engine only as an on-board generator. That choice trades a little conversion efficiency at sustained high speed for a simpler, more electric-first driving experience, lower battery cost/weight and far less range anxiety.
“For South Africa’s current conditions, a REEV is arguably the most practical and exciting path toward NEV adoption right now, even more so than fully electric or conventional PHEV options.”",New-energy or petrol: What is the best form of driving in South Africa?,https://mg.co.za/motoring/2025-10-23-new-energy-or-petrol-what-is-the-best-form-of-driving-in-south-africa/,8be5d44bbab4674cc3ce689605a9a353
"['Eyaaz Matwadia', 'Imraan Buccus']",2025-10-23 10:01:25+00:00,,Motoring News and reviews.,['https://mg.co.za/wp-content/uploads/2025/09/Untitled-design-400x224.png'],en,mg.co.za,"New-energy or petrol: What is the best form of driving in South Africa?
By 
Eyaaz Matwadia
The rise of more affordable electric vehicles and plug-in hybrid electric vehicles is sure to affect the market share of new-energy vehicles",The Mail & Guardian,https://mg.co.za/section/motoring/,a188af8bbe3677416d3403aaaec82774
[],2025-10-23 10:01:35+00:00,2019-06-13 07:17:15+00:00,Advertise Advertise with an Award Winning Team Want to reach over 1 000 000 affluent readers? Be part of the  M&G Online  community and promote yo,['https://mg.co.za/wp-content/uploads/2019/06/f5a9a166-awards.jpeg'],en,mg.co.za,"Want to reach over 1 000 000 affluent readers?
Be part of the M&G Online community and promote your products or services to over 1 000 000 monthly unique visitors generating more than six million monthly page impressions (audited by the DMMA).
The Mail & Guardian Online is one of South Africa’s top twenty websites, as measured and audited by the Digital Media and Marketing Association (DMMA). It is one of the country’s five biggest online newspapers. It was the first internet-based news publication in Africa. Launched in early 1994, it is reputed internationally for its quality content. The M&G Online has received numerous accolades and awards, including three international Webby Honouree awards (“Internet Oscars”) and voted one of the world’s top 175 websites by Forbes.com.
Print Advertising – Bryan Khumalo
Email: [email protected]
Phone: +27 (0)11 250 7300
Mobile: +27 (0)83 273 2112
Download the Print Rate Card
Digital Advertising – Bryan Khumalo
Email: [email protected]
Phone: +27 (0)11 250 7300
Mobile: +27 (0)83 273 2112
Download the Digital Rate Card
Readership profile
The M&G Online appeals to the top LSMs, including the political and business classes and the country’s intelligentsia. The publication attracts a readership that is above market aggregate in both income and education categories.
Our website has content like no other, and our readers are not what you would commonly find:",Advertise,https://mg.co.za/advertise/,e10545692fb2a0326b9d76e4ea546bea
['Collins Mtika'],2025-10-23 10:01:42+00:00,2025-10-20 00:00:00+00:00,,['https://mg.co.za/wp-content/uploads/2023/11/MailGuardian_logo-3.png'],en,mg.co.za,"Stage-managed repentance: Malawi’s state broadcaster chief humiliated live on TV
Dragged before the cameras, Malawi’s state broadcaster chief became an unwilling actor in a political drama about fear and freedom
Malawi’s Mutharika sworn in after rare comeback, vows to end ‘honeymoon of looting’
The ceremony at Kamuzu Stadium in Blantyre drew thousands of supporters and was cast by officials as a stress test for Malawi’s fragile democracy
Mutharika set for political encore as Malawi prepares for historic inauguration
The 85-year-old’s victory last month was a referendum on the cost of living in a country where inflation hovers near 30%, fuel and foreign currency are scarce and poverty is endemic
Shoprite exits Malawi, extending its retreat from the continent
There is anxiety over the fate of hundreds of jobs and the stability of the country’s fragile consumer market
At 85, Mutharika returns as Malawi president, SADC’s oldest leader
His return as president highlights the country’s deep political divides, rooted in regional loyalties
Malawi’s Chakwera concedes defeat in presidential election, pledges peaceful transition
The Malawi Electoral Commission has so far validated results from 24 of 36 councils, which show Peter Mutharika ahead by an unassailable
Malawi court rejects Chakwera’s bid to block release of election results
However, a high court judge said the president and his Malawi Congress Party can proceed with a judicial review of alleged irregularities
Hours away from final result, Peter Mutharika leads Malawian elections
Victory very unlikely for the incumbent President Lazarus Chakwera
Turmoil in Malawi as both presidential candidates claim election victory
The country’s high-stakes vote has been plagued by allegations of cheating, rivalry and arrests, leading to a demand for transparency",The Mail & Guardian,https://mg.co.za/author/collins-mtika/,d60e9cbbc6b21d6d2748f8306a55be6c
[],2025-10-23 10:01:47+00:00,2020-12-15 08:33:45+00:00,,['https://cabinet.mg.co.za/wp-content/uploads/2021/12/Cover-Image.jpg'],en,cabinet.mg.co.za,"After two years of a hard pandemic that wiped out any financial gains South Africa had and a revealing commission into state capture, the government’s responses took centre stage. In many instances, these were uninspiring and a let down for the people of this beautiful land.
We saw bloodshed, jobs annihilation, a health and justice system crumbling. We saw it all with little accountability. This makes sense because some ministers either didn’t bother speaking up for their performance or simply informed the public that they were only answerable to the one and only president.
He did not have a strong showing either this year and 2022 will prove even more difficult for him as he battles for his seat at Luthuli House and to lead the nation.
What this year has shown us, though, is that it’s easy for politicians to make grand plans but the real work doesn’t come as easily.",Mail & Guardian: South African Cabinet Report Cards,https://cabinet.mg.co.za/,911aecdb1166259280cef63719234033
"['Eyaaz', 'Mnaku Mbani']",2025-10-23 10:01:53+00:00,2025-10-13 15:25:41+00:00,Mpina filed an appeal last month against his removal from the race by the Independent National Electoral Commission,['https://mg.co.za/wp-content/uploads/2025/10/Mpina-2.jpg'],en,mg.co.za,"The High Court of Tanzania, Dodoma registry, is on Wednesday expected to deliver a decision on whether Luhaga Mpina of the Alliance for Change and Transparency (ACT) Wazalendo party can be its presidential election candidate, two weeks ahead of the country’s general elections.
Mpina filed a case at the high court last month challenging his removal from the race by the Independent National Electoral Commission (INEC).
The court ruling by a bench of three judges, led by Fredrick Manyanda, was initially expected on 10 October but was postponed on the grounds that the judges needed more time.
The case has attracted the public interest and legal and political stakeholders said it would create a “precedent” on electoral laws and the mandate of the electoral commission.
The other 17 candidates, including incumbent President Samia Suluhu Hassan of the ruling Chama Cha Mapinduzi (CCM) party, have continued with their campaigns around the country, which are expected to end on 28 October, a few hours before the election.
The INEC has also already printed ballot papers, and political analysts say this raises doubt about whether Mpina can be a candidate, even if he wins the court case.
He was removed from the ballot in late August after fellow ACT Wazalendo member Monalisa Ndala wrote to the Registrar of the Political Parties claiming that Mpina’s nomination was against the party’s electoral regulations.
Mpina successfully challenged this but was blocked from submitting his nomination forms to the INEC after another petition filed by attorney general Hamza Johari.
Mpina, a former CCM heavyweight, joined ACT Wazalendo in August after he was blocked from seeking nomination for the ruling party for a parliamentary seat in Kisesa constituency, in northern Tanzania.
He was considered to be the main challenger for Samia, given that the Chadema opposition party’s Tundu Lissu is in custody on treason charges.
Chadema has also been prohibited from involvement in politics pending another court case filed by two members from Zanzibar, concerning the use of the party’s resources.",Tanzania’s high court to decide on Luhaga Mpina’s presidential bid,https://mg.co.za/africa/2025-10-13-tanzanias-high-court-to-decide-on-luhaga-mpinas-presidential-bid/,e0f2d484439d1bcf86aec48fc967302b
['Jim Onyango'],2025-10-23 10:01:59+00:00,2025-10-17 00:00:00+00:00,,['https://mg.co.za/wp-content/uploads/2025/09/DnEldGenZDemos2506l-1000x668.jpg'],en,mg.co.za,"Raila Odinga: The relentless pan-Africanist who dominated Kenya’s politics
He stood as Africa’s foremost opposition leader and a tireless champion of democracy, a moral compass whose defiance outlasted regimes, reshaped constitutions and inspired generations
Kenya: A president under siege
The president has turned to football to regain the trust of young people as he faces discontent over taxes and unfulfilled promises ahead of the 2027 election",The Mail & Guardian,https://mg.co.za/author/jim-onyango/,e628a417b432ddd409d295be1a523c0e
"['Eyaaz', 'Mnaku Mbani']",2025-10-23 10:02:04+00:00,2025-09-27 16:00:00+00:00,"Government critics abducted, the main opposition leader detained and the presidential candidate for the second largest opposition party disqualified indicate a",['https://mg.co.za/wp-content/uploads/2025/09/TanzaniaPresidentSamiaHassan1.jpg'],en,mg.co.za,"Tanzania heads to presidential, parliamentary and local government elections on 29 October with the absence of constitutional reforms casting a long shadow over the country’s democratic journey. The 2025 vote risks becoming yet another contest staged on an uneven playing field that favours the ruling Chama Cha Mapinduzi (CCM).
A total of 36.7 million Tanzanians are registered to vote, and 16 presidential candidates have been cleared to challenge incumbent President Samia Suluhu Hassan. Yet the political environment has been dramatically altered by the absence of the main opposition party, Chama Cha Demokrasia na Maendeleo (Chadema), which has opted out after refusing to sign electoral regulations prepared by the Independent National Electoral Commission (INEC).
Chadema’s chairperson, Tundu Lissu, was arrested while speaking at a rally and several of his supporters were arrested and beaten.
The second-largest opposition force, Alliance for Change and Transparency (ACT-Wazalendo), which shares power in Zanzibar, will also appear weakened. Its Union presidential candidate, Luhaga Mpina, was disqualified by the INEC following objections from the attorney general. The disqualification left ACT without a presidential standard-bearer, even as the party campaigns vigorously for Zanzibar presidency, parliamentary and council seats.
The fragmented political landscape has been defined by competing slogans that reveal deep divisions. Chadema and its allies, including sections of the clergy, insist on “No Reforms, No Election”. ACT-Wazalendo urges its members to “Protect Your Vote” while the CCM projects confidence with its rallying cry: “October We Are Ticking.”
At the heart of the dispute is the unresolved question of constitutional and electoral reforms. Critics argue that the 1977 Constitution, crafted during the single-party era, entrenches executive dominance and denies voters genuine choice. Key provisions — including the president’s sole authority to appoint electoral commissioners, the inability to challenge presidential results in court, and the use of civil servants to supervise elections — are seen as tilting the field in the CCM’s favour.
Tanganyika Law Society (TLS) president Boniface Mwabukusi believes the outcome of the October election cannot be regarded as free or fair under these conditions. He recalls the controversies of the 2019 local elections, the 2020 general elections, and the 2024 local polls, when large numbers of opposition candidates were disqualified or arrested, leaving the CCM to dominate unchallenged.
For Mwabukusi, reforms are needed to open the political space. He points to the need for an independent electoral commission, judicial review of presidential results, and transparency measures such as allowing party agents to use cellphones during vote tallying. Without such changes, he warns, Tanzania risks sliding into managed democracy rather than genuine multiparty competition.
Even in the CCM, there are voices sympathetic to reform. Former MP Bishop Josephat Gwajima and former ambassador Humphrey Polepole have called for changes before the polls. Their criticism reflects a recognition that uncompetitive elections, while preserving the CCM’s dominance in the short term, erode public trust in institutions over the long run.
Chadema’s Lissu, currently facing treason charges in the high court, has gone further. He has suggested that the government should consider extending its mandate by two or three years to allow for comprehensive constitutional reform before holding elections. For Lissu and his supporters, participating in the 2025 polls without reform would legitimize a flawed system.
The Global Democracy Index 2023 published by the Economist Intelligence Unit described Tanzania as the top democratic country in East Africa.
But the reform debate is not new. Since Tanzania embraced multiparty politics in 1992, opposition parties have consistently complained about the dominance of the CCM and the bias of state institutions. Every general election since 1995 has been marred by disputes over transparency, access to media and the role of security forces.
In 2014, then president Jakaya Kikwete initiated a constitutional review process that generated broad public interest. The proposed draft constitution included provisions for stronger checks and balances, an independent electoral body and greater protection for civil liberties. But political disagreements resulted in the draft being shelved.
John Magufuli, who came to power in 2015, prioritised economic transformation over political reforms, sidelining the constitutional debate. His government was marked by mega-infrastructure projects and anti-corruption campaigns, but also by shrinking democratic space, with bans on rallies, restrictions on media and harassment of opposition leaders.
When Magufuli died in 2021, Samia Suluhu Hassan inherited both his ambitious economic agenda and his authoritarian political legacy. Many expected her to revive constitutional reforms. Although she opened diplomatic space and eased some restrictions, comprehensive political reforms have not materialised.
Suluhu’s four years in office have been defined by a balancing act of 4R (reconciliation, resilience, reform and rebuild). On the one hand, she has pursued a pragmatic approach to governance, re-engaging with international partners and restoring Tanzania’s credibility abroad.
Her government has secured financing from the World Bank and International Monetary Fund, channelled toward climate resilience, social welfare and budget support. She has also overseen progress on the Standard Gauge Railway, road and port expansions, and improvements in electricity and water supply.
But her administration has faced criticism for failing to address democratic deficits. While she lifted some of Magufuli’s restrictions — such as reopening banned media outlets and allowing limited opposition activities — critics say these measures have been inconsistent and easily reversed.
Her government has also struggled to convince people that opposition parties will be given a fair chance. Arrests of opposition leaders, ongoing court cases and strict oversight of civil society groups suggest that the state remains wary of dissent.
In her campaign rallies, Samia said that if she wins, she will revive the processes to make a new constitution and undergo political reconciliation within 100 days after being sworn in.
Civil society organisations complain of increasing restrictions on their activities, particularly in areas such as voter education, election monitoring and advocacy for marginalised groups. International NGOs report difficulties in registering projects related to governance and human rights. Social media platforms are closely monitored, with activists being harassed for critical commentary.
These developments highlight the gap between Suluhu’s reformist rhetoric and the reality of a political environment still shaped by state control. For many citizens, especially the youth, the contradiction is stark. While economic initiatives have created opportunities, political freedoms remain limited, fuelling disillusionment.
To her credit, Suluhu has delivered on several fronts. The commissioning of the Standard Gauge Railway between Dar es Salaam and Dodoma represents a transformative achievement, promising to enhance regional trade and domestic mobility. Expanded roads and upgraded ports are expected to support industrialisation and job creation.
Her administration has also emphasised financial inclusion, expanding access to banking and mobile money services. Small and medium enterprises have benefited from new credit facilities, while digital platforms are being developed to enhance tax collection and public service delivery.
In health and education, the government has strengthened vaccination programmes, invested in new hospitals and introduced digital learning initiatives. These measures reflect an ambition to build a more inclusive and resilient society, even if the benefits have not yet been evenly distributed across the country.
As October approaches, Tanzania faces several outcomes. If the CCM maintains its dominance, policy continuity is assured and economic programmes will proceed with minimal disruption. But such a scenario risks entrenching central authority and limiting democratic participation, eroding public trust over time.
If smaller opposition parties make gains, a more pluralistic environment could emerge, enhancing accountability and representation. Yet the absence of Chadema from the ballot and ACT’s weakened position mean that any opposition gains may be fragmented and insufficient to challenge the CCM’s majority.
The credibility of the election itself will carry significant weight. A transparent and inclusive process could attract further foreign investment and strengthen Tanzania’s reputation as a stable partner in the region. Conversely, a disputed or exclusionary process could trigger domestic unrest and draw criticism from international partners.
Beyond the ballot, Tanzania has enduring problems. Youth unemployment is a pressing issue, with millions of young people entering the labour market each year without sufficient opportunities. Rural areas continue to lag in infrastructure, education, and healthcare compared to urban centres, perpetuating inequality.
Corruption and mismanagement, though less visible under Suluhu, remain sources of frustration for citizens who demand accountability. Without stronger institutions, these issues could undermine both economic progress and political stability.
The 2025 general election represent more than a transfer of political power. It is a defining moment in Tanzania’s democratic journey, testing whether the country can reconcile its tradition of political stability with demands for greater pluralism, transparency and accountability.
Suluhu’s record of economic achievement and international engagement stands alongside persistent criticisms of restricted democratic space and the absence of constitutional reform. The choices made in this election will determine whether Tanzania moves toward deeper democracy or consolidates a model of controlled stability.
A credible election could reinforce democratic norms, attract investment, and foster national cohesion. A flawed one could fuel tensions, weaken institutions, and tarnish the country’s international standing.
Ultimately, the 2025 vote poses a fundamental question: will Tanzania embrace the participatory spirit of multiparty democracy, or will it continue along the path of centralized governance under the CCM? The answer will shape not only Suluhu’s legacy but also the trajectory of Tanzanian democracy and development for decades to come.
As Tanzanians prepare to cast their votes, the eyes of the nation — and the international community — are fixed on whether the promise of reform will finally be realised, or whether the struggle for a more inclusive democracy must continue beyond 2025.",Tanzanians go to the polls with unresolved constitutional reforms,https://mg.co.za/africa/2025-09-27-tanzanians-go-to-the-polls-with-unresolved-constitutional-reforms/,a2ed59cabd571d7d191d72bd0e51d07b
"['Eyaaz', 'Collins Mtika']",2025-10-23 10:02:11+00:00,2025-10-05 02:51:59+00:00,The ceremony at Kamuzu Stadium in Blantyre drew thousands of supporters and was cast by officials as a stress test for Malawi’s fragile democracy,['https://mg.co.za/wp-content/uploads/2025/10/WhatsApp-Image-2025-10-04-at-08.25.15.jpeg'],en,mg.co.za,"Peter Mutharika, 85, was sworn in Saturday as Malawi’s seventh president, reclaiming power in a dramatic political comeback five years after electoral defeat.
The ceremony at Kamuzu Stadium in Blantyre drew thousands of supporters and was cast by officials as a stress test for Malawi’s fragile democracy.
Chief Justice Rizine Mzikamanda administered the oath, with Justice Jane Ansah sworn in as vice president, marking the return of the Democratic Progressive Party (DPP) to State House.
Declaring that the “mighty DPP is back,” Mutharika promised sweeping reforms and a break with what he called a culture of corruption and entitlement in government.
“The honeymoon of looting is over,” he warned. “This country does not belong to a party or a tribe. It belongs to the people. Government is not a feast—it is about service, discipline, and hard work.”
The veteran leader, who described his election as both “the will of God and the will of the people,” painted a stark portrait of a nation in crisis.
“There is no food. No forex. Businesses are collapsing. The cost of living is unbearable. Government coffers are empty, and nobody knows where the borrowed money has gone,” he said.
Yet he insisted Malawi’s struggles are man-made and solvable: “Any problem created by humans can be solved by humans. Fixing this country will not be easy, but we will fix it. I promise you tough and painful decisions, but with patience, discipline, and hard work, we will build a country where our children can prosper.”
Mutharika used the inauguration to thank faith leaders for what he called their stand “against evil, corruption and state-sponsored terror” and appealed to the international community to send investment and support.
“Malawi is now open for business,” he said, promising accountability and financial discipline to win back donor trust.
Outgoing President Lazarus Chakwera was absent after being dropped from the programme at the last minute despite conceding defeat and pledging a smooth handover.
Analysts said the exclusion signalled a sharp break from the past and an attempt to reset governance.
Malawi, a nation of 20 million people, faces crushing debt, youth unemployment, soaring inflation, and worsening food insecurity.
Mutharika’s return through the ballot box is unusual in Africa, where former incumbents rarely reclaim power via competitive elections. His choice of Ansah, a senior jurist, underscored a theme of restoring the rule of law.
The president is expected to form a cabinet in the coming days, with observers urging an inclusive, merit-based team bound by performance contracts.
Early reforms in energy, agriculture, and finance are seen as critical to restoring investor confidence and unlocking external financing.
“The spirit that destroys our nation does not come from outside,” Mutharika said in closing. “It comes from among us. But Malawi will rise again.”","Malawi’s Mutharika sworn in after rare comeback, vows to end ‘honeymoon of looting’",https://mg.co.za/africa/2025-10-05-malawis-mutharika-sworn-in-after-rare-comeback-vows-to-end-honeymoon-of-looting/,03df34265062c819af5e4096ec961de8
"['Eyaaz', 'Tania Broughton']",2025-10-23 10:02:17+00:00,2025-10-22 11:09:21+00:00,"Advocate Nasreen Rajab-Budlender said the case will probably determine whether other women with legitimate claims will come forward, but the tribunal chair disa",['https://mg.co.za/wp-content/uploads/2025/07/WhatsApp-Image-2025-07-08-at-04.18.59-scaled.jpeg'],en,mg.co.za,"It was not open to Eastern Cape Judge President Selby Mbenenge to claim his persistent sexually loaded WhatsApp messages to court secretary Andiswa Mengo were Xhosa “cultural courting”, her lawyer argued on Tuesday, saying this was because the evidence clearly showed it was sexual harassment.
Advocate Nasreen Rajab-Budlender said if the tribunal which is considering Mengo’s complaint found in Mbenenge’s favour regarding this “cultural practice”, the logical conclusion was that it was permissible to badger a woman, and refuse to take “no” for an answer, until she finally relented.
“That is the very definition of sexual harassment,” she said.
The tribunal, chaired by retired judge Bernard Ngoepe, heard closing arguments in the matter in which Mengo accuses Mbenenge of sending her multiple WhatsApp messages between 2021 and 2022. Some contained “sexually explicit” emojis of bananas and eggplants. Others asked her for naked pictures and if they could be intimate.
Mbenenge has conceded that he sent the messages, which were retrieved from Mengo’s cellphone, but claims the relationship was consensual. He denies sending her a picture of his penis and that he asked her for oral sex in his Mthatha chambers.
Mengo, however, says his advances were totally unwanted. During her 10 days of testimony and cross-examination, she said she was shocked and confused at his advances, and frightened of the consequences if she outrightly rebuffed him.
Explaining her flirtatious, playful emojis and responses, she said she had attempted to distract him and humour him. But, Rajab-Budlender submitted on Tuesday, the record showed that she had said “no” or indicated such at least 13 times.
Rajab-Budlender said the case, the first in which a judge was facing charges of sexual harassment, would “likely determine whether other women with legitimate claims will come forward”.
Ngoepe challenged this: “You can’t say that. Each case is adjudicated according to its own facts. We will determine it according to the law and the facts before us.”
But Rajab-Budlender persisted.
“We can’t pretend that when we make findings about how women are required to behave, and whether there is perceived consent, that it won’t have an effect on other women.
“This case is important. We cannot pretend that it’s just about these two people. It is not.”
She questioned whether the conversations Mbenenge admitted having with the junior secretary were in line with the judicial code of conduct, “and what we and the public expect of our judiciary”.
“What is at issue here is his conduct. Not her conduct. It doesn’t matter how she responded. There is no such thing as a perfect victim.”
Rajab-Budlender said Mbenenge’s admitted conduct would be a dismissible offence in any workplace.
Regarding submissions by Mbenenge’s legal team that there was nothing wrong with a judge having a relationship with a secretary, per se, she argued that this was not an “open relationship” but one which Mbenenge had concealed, through the deletion of his messages, his instruction to Mengo to delete hers and his fear that his wife would find out.
His actions were not in line with the Judicial Code of Conduct or the recently approved sexual harassment code for the judiciary, which stated that judges had to act honourably at all times, even in private.
Ngoepe asked both Rajab-Budlender and evidence leader advocate Salome Scheepers whether the WhatsApp messages “objectively”, through the eyes of the average person, showed that Mengo had made her feelings known.
Both pointed to the evidence of gender-based violence expert Dr Lisa Vetten, who testified about power dynamics and how Mbenenge had “exploited” this.
But later Ngoepe said he was concerned about Vetten’s evidence that women did not have power at all, citing examples from the messages which, he said, indicated that at times Mengo had exerted her womanly powers — the “keys to her heart”.
Rajab-Budlender said this was not an ordinary relationship but a workplace relationship. Vetten’s evidence had to be seen in that context.
On several occasions, Ngoepe questioned whether, objectively, Mbenenge’s advances could be viewed as unwanted in light of the WhatsApp exchanges.
But both Rajab-Budlender and Scheepers said the evidence was clear and that the tribunal should find Mbenenge guilty of gross misconduct.
Advocate Muzi Sikhakhane, for Mbenenge, said his client was innocent and should be found to be so.
“A lot of moral questions have been raised by high-horse riders. This was flirting and does not constitute sexual harassment,” he submitted.
He said the allegation that Mbenenge sent Mengo a picture of his penis was a “very painful public lie”, as was the alleged incident in his chambers.
“There is no evidence of this,” he said.
“You are not required to determine how flirting should be done. Whether he does it elegantly or inelegantly. The narrow complaint is based on WhatsApp messages. In order for it to constitute sexual harassment, it must be unwanted, persistent, humiliating or threatening adverse consequences.
“Who initiates it is not a factor regarding consent.”
Sikhakhane said to suggest that Mbenenge should have bought Mengo flowers or taken her out was “condescending”.
The test, he said, was not subjective but objective, and on the evidence, there was no indication of any rebuff.
“Nobody must be sexually harassed, but no one must be falsely accused and lose their job because of it.”
Rajab-Budlender, in reply, said it was open to the tribunal to find Mbenenge guilty of only misconduct and then leave it in the hands of the Judicial Service Commission.
Ngoepe had the last word: “We will not be swayed by public opinion, one way or another. We will decide it based on the facts and the law. We will adjourn and give ourselves time to consider the matter.”","In closing arguments, lawyer for judge Selby Mbenenge’s accuser says evidence clearly showed sexual harassment",https://mg.co.za/news/2025-10-22-in-closing-arguments-lawyer-for-judge-selby-mbenenges-accuser-says-evidence-clearly-showed-sexual-harassment/,c09393c3e005136d9f09c8a4d74cbfcf
