source_fullname,source_shortname,base_url,pages_url,num_pages,save_locally,anti_robot,load_more_button,alt_source_domain
Awakening News Network,anntw.com,https://anntw.com/,https://anntw.com/,1,False,True,False,
CNA,www.cna.com.tw,https://www.cna.com.tw/,https://www.cna.com.tw/,1,False,True,False,
CTS News,www.cts.com.tw,https://www.cts.com.tw/,https://www.cts.com.tw/,1,False,True,False,
China Daily News,www.cdns.com.tw,https://www.cdns.com.tw/,https://www.cdns.com.tw/,1,False,True,False,
China Times,www.chinatimes.com,https://www.chinatimes.com/,https://www.chinatimes.com/,1,False,True,False,
Commercial Times,www.ctee.com.tw,https://www.ctee.com.tw/,https://www.ctee.com.tw/,1,False,True,False,
Credere Media,www.cmmedia.com.tw,https://www.cmmedia.com.tw/,https://www.cmmedia.com.tw/,1,False,True,False,
DigiTimes,www.digitimes.com.tw,https://www.digitimes.com.tw/,https://www.digitimes.com.tw/,1,False,True,False,
Economic Daily News,money.udn.com,https://money.udn.com/,https://money.udn.com/,1,False,True,False,
Epoch Times,www.epochtimes.com.tw,https://www.epochtimes.com.tw/,https://www.epochtimes.com.tw/,1,False,True,False,
FHBS,fhbs.com.tw,https://fhbs.com.tw/,https://fhbs.com.tw/,1,False,True,False,
FTV News,www.ftvnews.com.tw,https://www.ftvnews.com.tw/,https://www.ftvnews.com.tw/,1,False,True,False,
FTV News,english.ftvnews.com.tw,https://english.ftvnews.com.tw/,https://english.ftvnews.com.tw/,1,False,True,False,
Focus Taiwan,focustaiwan.tw,https://focustaiwan.tw/,https://focustaiwan.tw/,1,False,True,False,
Green Peace,www.greenpeace.com.tw,https://www.greenpeace.com.tw/,https://www.greenpeace.com.tw/,1,False,True,False,
ICRT,www.icrt.com.tw,https://www.icrt.com.tw/,https://www.icrt.com.tw/,1,False,True,False,
IDN News,www.idn.com.tw,https://www.idn.com.tw/,https://www.idn.com.tw/,1,False,True,False,
Keng Sheng Daily News,www.ksnews.com.tw,https://www.ksnews.com.tw/,https://www.ksnews.com.tw/,1,False,True,False,
Liberty Times,www.ltn.com.tw,https://www.ltn.com.tw/,https://www.ltn.com.tw/,1,False,True,False,
Mandarin Daily News,www.mdnkids.com,https://www.mdnkids.com/,https://www.mdnkids.com/,1,False,True,False,
Matsu Daily,www.matsu-news.gov.tw,https://www.matsu-news.gov.tw/,https://www.matsu-news.gov.tw/,1,False,True,False,
Merit Times,www.merit-times.com,https://www.merit-times.com/,https://www.merit-times.com/,1,False,True,False,
Military News Agency,mna.gpwb.gov.tw,https://mna.gpwb.gov.tw/,https://mna.gpwb.gov.tw/,1,False,True,False,
Mirror Media,www.mirrormedia.mg,https://www.mirrormedia.mg/,https://www.mirrormedia.mg/,1,False,True,False,
NOWnews,www.nownews.com,https://www.nownews.com/,https://www.nownews.com/,1,False,True,False,
News & Market,www.newsmarket.com.tw,https://www.newsmarket.com.tw/,https://www.newsmarket.com.tw/,1,False,True,False,
Newtalk,newtalk.tw,https://newtalk.tw/,https://newtalk.tw/,1,False,True,False,
